,Gender,Married,Dependents,Education,Self_Employed,Loan_Amount_Term,Credit_History,Loan_Status,LoanAmount_Log,TotalIncome_Log,Rural,Semiurban,Urban
0,0,1,0,0,0,360.0,1,1,7.007810628047801,12.513974273740658,0,0,1
1,0,0,1,0,0,360.0,1,0,7.0,12.572463389083676,1,0,0
2,0,0,0,0,1,360.0,1,1,6.044394119358453,11.550746785383243,0,0,1
3,0,0,0,1,0,360.0,1,1,6.906890595608519,12.270587340447511,0,0,1
4,0,1,0,0,0,360.0,1,1,7.139551352398794,12.550746785383243,0,0,1
5,0,0,2,0,1,360.0,1,1,8.060695931687555,13.230771018439848,0,0,1
6,0,0,0,1,0,360.0,1,1,6.569855608330948,11.91026795581084,0,0,1
7,0,0,3,0,0,360.0,0,0,7.303780748177103,12.43567026093655,0,1,0
8,0,0,2,0,0,360.0,1,1,7.392317422778761,12.433585441150495,0,0,1
9,0,0,1,0,0,360.0,1,0,8.447083226209653,14.539219406905376,0,1,0
10,0,0,2,0,0,360.0,1,1,6.129283016944966,11.929258408636972,0,0,1
12,0,0,2,0,0,360.0,1,1,7.643856189774724,13.448503519468836,0,0,1
13,0,1,0,0,0,360.0,1,0,6.832890014164741,12.196294745028263,1,0,0
14,0,0,2,0,0,120.0,1,1,4.087462841250339,11.219773550892874,0,0,1
15,0,1,0,0,0,360.0,1,1,6.965784284662087,12.273212809854334,0,0,1
17,1,1,0,0,0,360.0,0,0,6.247927513443585,11.777255315191923,0,0,1
18,0,0,0,1,0,360.0,1,0,7.05528243550119,12.254733389246674,1,0,0
20,0,0,0,1,0,360.0,0,0,6.700439718141092,12.903128676812319,0,0,1
21,0,0,1,0,0,360.0,1,1,8.29920801838728,13.4993476328766,0,0,1
22,0,0,0,1,0,360.0,0,0,6.857980995127572,12.139231570719353,0,1,0
23,1,0,2,1,0,360.0,0,0,6.807354922057604,12.366868586167094,1,0,0
25,0,0,0,0,1,360.0,1,1,7.577428828035749,13.222794902868111,0,1,0
26,0,0,0,0,0,360.0,1,1,6.930737337562887,12.302638923787553,0,1,0
27,0,0,2,1,0,360.0,1,1,6.78135971352466,12.362491806046062,0,0,1
28,0,1,0,1,0,360.0,1,0,5.129283016944966,10.493855449240822,0,0,1
31,0,1,0,0,0,360.0,1,0,6.20945336562895,11.62890115202819,0,0,1
32,0,1,1,0,1,360.0,1,0,6.727920454563199,12.19598729802851,1,0,0
33,0,0,0,0,0,360.0,1,1,6.832890014164741,12.335111168424861,0,1,0
34,0,1,3,0,0,360.0,1,0,8.321928094887362,13.919980595048962,1,0,0
35,0,0,0,0,0,360.0,1,1,7.007810628047801,12.084144010615145,0,0,1
36,0,0,0,0,0,360.0,0,0,6.643856189774724,11.624795455860237,0,0,1
37,1,0,0,0,0,360.0,1,1,7.169925001442312,12.323617763291578,0,1,0
38,0,1,0,0,0,360.0,1,1,7.523561956057013,13.473705749619416,0,0,1
39,0,1,0,1,0,360.0,1,1,6.78135971352466,12.403012023574997,0,1,0
40,0,1,0,0,0,360.0,1,0,6.321928094887363,11.813781191217037,0,0,1
41,0,1,0,0,0,360.0,1,1,5.554588851677638,11.556984957594462,0,0,1
43,0,0,0,0,0,360.0,1,1,7.066089190457772,12.61585949358308,0,1,0
44,0,0,0,1,1,360.0,1,1,6.584962500721156,12.196909442541138,0,0,1
45,1,1,0,0,0,360.0,1,1,6.459431618637297,11.735556023911535,0,0,1
46,0,0,1,0,0,360.0,1,1,5.459431618637297,12.463779785335385,0,0,1
47,0,0,0,0,0,360.0,1,1,7.169925001442312,12.507051302247916,0,0,1
48,1,0,0,0,0,360.0,0,0,6.906890595608519,12.57104154760109,0,0,1
49,1,1,0,0,0,360.0,1,1,7.169925001442312,12.615399743725497,0,1,0
50,1,0,0,1,0,360.0,1,1,6.643856189774724,11.802516365121223,0,1,0
51,1,1,0,0,0,360.0,1,1,6.906890595608519,11.591522346570734,0,1,0
52,1,1,0,0,0,360.0,1,0,6.807354922057604,12.046441948007311,0,1,0
53,0,0,2,0,0,360.0,1,0,7.066089190457772,12.172427508645482,0,0,1
54,1,0,1,0,1,360.0,0,0,8.159871336778389,13.4893462407191,0,0,1
55,0,0,2,0,0,360.0,1,1,6.599912842187128,11.919980595048962,0,1,0
56,0,0,0,0,0,360.0,1,1,6.584962500721156,11.862249900851513,0,1,0
57,0,0,0,0,0,360.0,1,0,7.076815597050831,12.442425193331607,1,0,0
58,0,0,1,0,0,360.0,1,1,7.491853096329675,13.334552633752422,0,0,1
59,0,0,2,1,0,360.0,1,1,7.169925001442312,12.60177078840771,0,0,1
60,0,0,0,0,0,360.0,1,1,6.906890595608519,12.620219825507487,0,0,1
61,0,0,3,0,0,360.0,1,1,6.6293566200796095,11.564625862795372,0,0,1
